model,seed,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
skinny64_runtime_e4_equivariant_true,0,1.0,0.2350913462760218,0.6573958927838248,0.6031017303466797,0.6470486476318911,0.659175691587734,0.6008949279785156,0.6433362746029161,0.0001
skinny64_runtime_e4_equivariant_true,0,2.0,0.2331447881351778,0.656329434888903,0.6057109832763672,0.6494106408426887,0.6580208066443447,0.6028900146484375,0.6456591058813501,0.0001
skinny64_runtime_e4_equivariant_true,0,3.0,0.23253932933039323,0.6555881256936118,0.6061038970947266,0.6509325251900009,0.6576385396183468,0.6043281555175781,0.6468384422187228,0.0001
skinny64_runtime_e4_equivariant_true,0,4.0,0.2320885460558202,0.6544466829582234,0.6092605590820312,0.6531261191412341,0.6565235578163993,0.6069526672363281,0.6489739108073991,0.0001
skinny64_runtime_e4_equivariant_true,0,5.0,0.2318054383431445,0.6550856945032137,0.6082286834716797,0.6538153728033649,0.6577099239075324,0.6054306030273438,0.6492293947958387,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,1.0,0.24579008435466676,0.6774158242187696,0.5679435729980469,0.5994075686467113,0.6775403206847841,0.5673484802246094,0.5988035915070213,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,2.0,0.24271551903802902,0.6763752865226706,0.5705318450927734,0.6014567459642421,0.6767922295985045,0.5692291259765625,0.6002816459513269,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,3.0,0.24208699984956183,0.6745752102069673,0.5738925933837891,0.6061215160007123,0.6755106961354613,0.5711135864257812,0.6029284934920724,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,4.0,0.24167258916349965,0.6742293722854811,0.5742568969726562,0.6077025800332194,0.6754562480346067,0.5725212097167969,0.6035616984008811,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,5.0,0.24135175000810705,0.6749026171964942,0.5744514465332031,0.6077325320366072,0.6765288082096959,0.5703353881835938,0.6019121464341879,0.0001
skinny64_runtime_e4_equivariant_independent,0,1.0,0.25028241398831597,0.6931494857635698,0.5,0.510975766053889,0.6931541787635069,0.5,0.5101899375149515,0.0001
skinny64_runtime_e4_equivariant_independent,0,2.0,0.2500187497407751,0.6929838157157064,0.50738525390625,0.5111867378145689,0.6930220461508725,0.50677490234375,0.5099413539282978,0.0001
skinny64_runtime_e4_equivariant_independent,0,3.0,0.24996908802313555,0.6929712869532523,0.50738525390625,0.5112444184487686,0.69301252940204,0.50677490234375,0.5099501486110967,0.0001
skinny64_runtime_e4_equivariant_independent,0,4.0,0.24994466043608554,0.6929475020151585,0.5078830718994141,0.5115432389866328,0.6930055564007489,0.5068855285644531,0.5100363144010771,0.0001
skinny64_runtime_e4_equivariant_independent,0,5.0,0.24992366592414328,0.6929269686443149,0.5082798004150391,0.511758060871216,0.693014314834727,0.5071525573730469,0.51008156593889,0.0001
