run_index,run_label,cipher,model,selected_model,rounds,seed,samples_per_class,pairs_per_sample,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
2,run2: GIFT-64 r6 gift_cross_spn_typed_cell_true seed0,GIFT-64,gift_cross_spn_typed_cell_true,gift_cross_spn_typed_cell_true,6,0,65536,4,6.0,0.24309308943338692,0.6808858723379672,0.5581130981445312,0.5983721384545788,0.683678908739239,0.5504913330078125,0.5879144575446844,0.0001
2,run2: GIFT-64 r6 gift_cross_spn_typed_cell_true seed0,GIFT-64,gift_cross_spn_typed_cell_true,gift_cross_spn_typed_cell_true,6,0,65536,4,7.0,0.24250446120277047,0.6792930744122714,0.565673828125,0.6009849176043645,0.6838221589569002,0.555511474609375,0.5881430045701563,0.0001
2,run2: GIFT-64 r6 gift_cross_spn_typed_cell_true seed0,GIFT-64,gift_cross_spn_typed_cell_true,gift_cross_spn_typed_cell_true,6,0,65536,4,8.0,0.24246650136774406,0.6761529952054843,0.5698318481445312,0.6041832781629637,0.6801301161758602,0.560821533203125,0.5871917414478958,0.0001
2,run2: GIFT-64 r6 gift_cross_spn_typed_cell_true seed0,GIFT-64,gift_cross_spn_typed_cell_true,gift_cross_spn_typed_cell_true,6,0,65536,4,9.0,0.2419684324413538,0.6806519100209698,0.5591888427734375,0.6067498710472137,0.6855423324741423,0.550384521484375,0.5859197783283889,0.0001
2,run2: GIFT-64 r6 gift_cross_spn_typed_cell_true seed0,GIFT-64,gift_cross_spn_typed_cell_true,gift_cross_spn_typed_cell_true,6,0,65536,4,10.0,0.24146599788218737,0.6779099253471941,0.56231689453125,0.6102971453219652,0.6843291188124567,0.5448455810546875,0.5855183633975685,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,1.0,0.2463594687578734,0.6836429925169796,0.5528564453125,0.5850956835784018,0.683692732360214,0.5527801513671875,0.5827293181791902,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,2.0,0.24463425821159035,0.6800839904462919,0.5613327026367188,0.5897986018098891,0.6805526858661324,0.559417724609375,0.5855940748006105,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,3.0,0.2438625565264374,0.6787444008514285,0.5646591186523438,0.5934257567860186,0.6798824751749635,0.5615234375,0.5875128516927361,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,4.0,0.24356835207436234,0.6780928059015423,0.5657577514648438,0.5959939685417339,0.6797264949418604,0.562347412109375,0.5876569738611579,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,5.0,0.24293720175046474,0.677616304019466,0.5661773681640625,0.5984847905347124,0.6800768040120602,0.5627899169921875,0.5885651088319719,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,6.0,0.2428182515723165,0.6816430626204237,0.5564651489257812,0.5989618259482086,0.6848095902241766,0.54827880859375,0.5879559861496091,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,7.0,0.24226199084660038,0.6784556271741167,0.565704345703125,0.6021820787573233,0.6833485439419746,0.554901123046875,0.5881848065182567,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,8.0,0.2422260505554732,0.6749400796834379,0.5731887817382812,0.6061772415414453,0.6795586978551,0.5632781982421875,0.5876820418052375,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,9.0,0.24178117225528695,0.6798861715942621,0.5607833862304688,0.6087885193992406,0.6852404151577502,0.5501861572265625,0.5863880855031312,0.0001
3,run3: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_true seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_true,gift_cross_spn_typed_cell_true_from_present_true,6,0,65536,4,10.0,0.24124192603630945,0.676903966232203,0.56561279296875,0.6123644839972258,0.6843128656037152,0.547088623046875,0.5859318040311337,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,1.0,0.24850730164325796,0.6888729273341596,0.5407257080078125,0.5768597201677039,0.6894821817986667,0.5384521484375,0.5727928392589092,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,2.0,0.2457884369941894,0.6813258834881708,0.5598831176757812,0.5858743864810094,0.6822892392519861,0.5568084716796875,0.5798429385758936,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,3.0,0.2445140448398888,0.6795315189519897,0.5640640258789062,0.5918106760364026,0.6808956612367183,0.5593414306640625,0.5846873465925455,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,4.0,0.2439676649228204,0.6787399554159492,0.5655059814453125,0.5941492315614596,0.6807056891266257,0.5597381591796875,0.584816962480545,0.0001
4,run4: GIFT-64 r6 gift_cross_spn_typed_cell_true_from_present_shuffled seed0,GIFT-64,gift_cross_spn_typed_cell_true_from_present_shuffled,gift_cross_spn_typed_cell_true_from_present_shuffled,6,0,65536,4,5.0,0.24324824812356383,0.6776647095102817,0.56695556640625,0.5973062867997214,0.6802992471493781,0.5606689453125,0.5866995006799698,0.0001
