model,epoch,learning_rate,train_accuracy,train_auc,train_auxiliary_loss,train_best_accuracy,train_calibrated_accuracy,train_eval_loss,train_loss,val_accuracy,val_auc,val_best_accuracy,val_calibrated_accuracy,val_loss
present_runtime_e4_equivariant_true,1.0,0.0001,0.680916,0.7478598829055,0.0,0.6809665,0.6809665,0.5883330408372879,0.20621496695399286,0.680178,0.747343281202,0.680343,0.680343,0.588876815607071
present_runtime_e4_equivariant_true,2.0,0.0001,0.6817885,0.749120740337,0.0,0.681916,0.681916,0.5874631684055328,0.20344275743436813,0.681114,0.74844863355,0.681392,0.681392,0.5881201065921784
present_runtime_e4_equivariant_true,3.0,0.0001,0.678628,0.7495164130705,0.0,0.6822155,0.6822155,0.5896037868967057,0.20301540875911714,0.677934,0.748705891116,0.681641,0.681641,0.5904265461063385
present_runtime_e4_equivariant_true,4.0,0.0001,0.682671,0.750026374603,0.0,0.6827195,0.6827195,0.5864233612394333,0.20272814163851738,0.6817,0.749070854376,0.681765,0.681765,0.5874328227615356
present_runtime_e4_equivariant_true,5.0,0.0001,0.6815225,0.7505802156035,0.0,0.6830505,0.6830505,0.5871092555360794,0.2024571905734539,0.680433,0.749477538094,0.682226,0.682226,0.5881516686840057
present_runtime_e4_equivariant_corrupted,1.0,0.0001,0.56929,0.5997715508795,0.0,0.5697355,0.5697355,0.6677679057388306,0.24163701129865647,0.569011,0.59954671867,0.569336,0.569336,0.6678010836601257
present_runtime_e4_equivariant_corrupted,2.0,0.0001,0.5698915,0.600943329793,0.0,0.570571,0.570571,0.6672169348640442,0.23938985737657548,0.569017,0.600297028254,0.570191,0.570191,0.6673860970611573
present_runtime_e4_equivariant_corrupted,3.0,0.0001,0.5697655,0.601674851189,0.0,0.5711275,0.5711275,0.6671780802478791,0.23913787773752213,0.569039,0.600936394788,0.570502,0.570502,0.6674214662895203
present_runtime_e4_equivariant_corrupted,4.0,0.0001,0.5711675,0.602033719276,0.0,0.571339,0.571339,0.6665260562019348,0.2390312633752823,0.570309,0.600987492106,0.570334,0.570334,0.6667876916656494
present_runtime_e4_equivariant_corrupted,5.0,0.0001,0.5697245,0.6027388490675,0.0,0.572007,0.572007,0.6671474057979584,0.2389195588850975,0.568519,0.601527151514,0.570918,0.570918,0.6674570052757263
present_runtime_e4_equivariant_independent,1.0,0.0001,0.5664935,0.596039499438,0.0,0.567153,0.567153,0.6683020400314331,0.2409951147761345,0.566556,0.596151098436,0.566848,0.566848,0.668263371219635
present_runtime_e4_equivariant_independent,2.0,0.0001,0.565978,0.5966877709165,0.0,0.567528,0.567528,0.6684465729236603,0.23972861316251753,0.565557,0.59669076459,0.567324,0.567324,0.6684616454849244
present_runtime_e4_equivariant_independent,3.0,0.0001,0.566583,0.597013220835,0.0,0.5676215,0.5676215,0.6682967066841126,0.23958151586198806,0.566357,0.596926474616,0.567487,0.567487,0.6683550720329284
present_runtime_e4_equivariant_independent,4.0,0.0001,0.566858,0.5971018758515,0.0,0.5678725,0.5678725,0.6679979947128296,0.23948569286870958,0.566729,0.596983626858,0.567604,0.567604,0.6680191475372315
present_runtime_e4_equivariant_independent,5.0,0.0001,0.5673,0.597496479917,0.0,0.568246,0.568246,0.6679715314025879,0.23942970622015,0.566848,0.597290895286,0.567691,0.567691,0.6680191426963806
