cipher,structure,network,model_key,family,architecture_rank,score,rounds,seed,samples_per_class,train_samples_total,validation_samples_total,final_test_samples_total,final_test_repeats,dataset_label_mode,pairs_per_sample,feature_encoding,negative_mode,train_key,validation_key,final_test_key,key_rotation_interval,sample_structure,integral_active_nibble,difference_profile,difference_member,loss,learning_rate,optimizer,optimizer_state_transition,weight_decay,lr_scheduler,max_learning_rate,checkpoint_metric,restore_best_checkpoint,early_stopping_patience,early_stopping_min_delta,pretrain_rounds,pretrain_round_sequence,pretrain_epochs,model_options,evidence,literature
GIFT-64,SPN,GIFT64-TypedScratch-Perf-1M-Seed6,gift_cross_spn_typed_cell_true,gift64_typed_scratch,0,190,6,6,1000000,,1000000,1000000,5,balanced_per_class,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0x22222222222222222222222222222222,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,reset_each_stage,0.00001,none,,val_auc,true,0,0.0,,,0,"{""mixer_depth"":2,""token_mlp_ratio"":2,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""attention_mean_max"",""dropout"":0.0}",LARGE-SCALE BENCHMARK 1000000/class; five fresh 1000000-row tests; target seed6,Same-architecture typed scratch control
GIFT-64,SPN,GIFT64-TypedTransfer-Source0-Perf-1M-Seed6,gift_cross_spn_typed_cell_true_from_present_true_s0,gift64_typed_transfer_source0,1,200,6,6,1000000,,1000000,1000000,5,balanced_per_class,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0x22222222222222222222222222222222,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,reset_each_stage,0.00001,none,,val_auc,true,0,0.0,,,0,"{""mixer_depth"":2,""token_mlp_ratio"":2,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""attention_mean_max"",""dropout"":0.0}",LARGE-SCALE BENCHMARK 1000000/class; source seed0; target seed6,E4 typed transfer initialized from PRESENT source seed0
GIFT-64,SPN,GIFT64-TypedTransfer-Source1-Perf-1M-Seed6,gift_cross_spn_typed_cell_true_from_present_true_s1,gift64_typed_transfer_source1,2,200,6,6,1000000,,1000000,1000000,5,balanced_per_class,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0x22222222222222222222222222222222,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,reset_each_stage,0.00001,none,,val_auc,true,0,0.0,,,0,"{""mixer_depth"":2,""token_mlp_ratio"":2,""activation"":""relu"",""norm"":""layernorm"",""pooling"":""attention_mean_max"",""dropout"":0.0}",LARGE-SCALE BENCHMARK 1000000/class; source seed1; target seed6,E4 typed transfer initialized from PRESENT source seed1
GIFT-64,SPN,GIFT64-SunStyle-LSTM-Perf-1M-Seed6,gift64_sun_style_lstm_pairset,gift64_lstm_mainstream_adaptation,3,180,6,6,1000000,,1000000,1000000,5,balanced_per_class,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0x22222222222222222222222222222222,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,reset_each_stage,0.00001,cyclic,0.002,val_auc,true,0,0.0,,,0,"{""lstm_hidden_bits"":128,""classifier_bits"":128}",LARGE-SCALE BENCHMARK 1000000/class; target seed6; same cache and epochs,Sun et al. LSTM-family same-protocol adaptation; not exact 3-2-CT-R reproduction
GIFT-64,SPN,GIFT64-GohrStyle-ResNet-Perf-1M-Seed6,gift64_gohr_style_resnet_pairset,gift64_resnet_mainstream_adaptation,4,180,6,6,1000000,,1000000,1000000,5,balanced_per_class,4,ciphertext_pair_bits,encrypted_random_plaintexts,0x00000000000000000000000000000000,0x11111111111111111111111111111111,0x22222222222222222222222222222222,0,independent_pairs,0,gift64_shen2024_spn_screen,0,mse,0.0001,adam,reset_each_stage,0.00001,cyclic,0.002,val_auc,true,0,0.0,,,0,"{""resnet_channels"":64,""resnet_blocks"":7,""classifier_bits"":128}",LARGE-SCALE BENCHMARK 1000000/class; target seed6; same cache and epochs,Gohr-style residual CNN same-protocol adaptation
