model,seed,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
skinny64_runtime_e4_equivariant_true,0,1.0,0.2335071028022766,0.6565065109367371,0.6060695,0.65026413494,0.6581209885978698,0.60349,0.646614646118,0.0001
skinny64_runtime_e4_equivariant_true,0,2.0,0.23196263624763488,0.6540734915561676,0.6096235,0.6537028772445,0.6560815160751343,0.606675,0.649512826212,0.0001
skinny64_runtime_e4_equivariant_true,0,3.0,0.23147500778484345,0.6536943568725586,0.610034,0.6549076956815,0.6556350486488343,0.607151,0.650700308622,0.0001
skinny64_runtime_e4_equivariant_true,0,4.0,0.2311634955444336,0.6532855839653016,0.610964,0.6561660446575,0.6555324647064209,0.6077,0.651792030844,0.0001
skinny64_runtime_e4_equivariant_true,0,5.0,0.23091160321760176,0.6523220261440277,0.612166,0.6574637807745,0.6544137347602844,0.608937,0.653191631304,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,1.0,0.24344272871017456,0.6764582080154419,0.57158,0.6027549081255,0.6763301238555908,0.571572,0.603106579906,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,2.0,0.24186326495742796,0.6749018958015441,0.573292,0.604919191364,0.6748376735801697,0.573303,0.60511064676,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,3.0,0.24146443461561204,0.6748341182193756,0.573587,0.6069844339815,0.6750171097183227,0.572559,0.60635507291,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,4.0,0.241185050406456,0.6740082065162659,0.5751895,0.608186861983,0.6743524420471192,0.573972,0.607162432806,0.0001
skinny64_runtime_e4_equivariant_corrupted,0,5.0,0.24101348029851913,0.6744947983760834,0.574458,0.608474616326,0.6749049326133728,0.573353,0.606967531022,0.0001
skinny64_runtime_e4_equivariant_independent,0,1.0,0.25005918078756334,0.6929797568130494,0.5072185,0.511340892396,0.6929964309082032,0.507122,0.510692463526,0.0001
skinny64_runtime_e4_equivariant_independent,0,2.0,0.24992913934755326,0.6929837059230805,0.5071225,0.511960228563,0.6930047771339416,0.506861,0.511303550626,0.0001
skinny64_runtime_e4_equivariant_independent,0,3.0,0.24991720285272598,0.6929438603553773,0.508447,0.511910877802,0.692965664779663,0.508101,0.511323982018,0.0001
skinny64_runtime_e4_equivariant_independent,0,4.0,0.24990580185317993,0.6929720211391449,0.507249,0.5121995026805,0.6929924692955017,0.507196,0.511571991342,0.0001
skinny64_runtime_e4_equivariant_independent,0,5.0,0.2499003264656067,0.6929219183368683,0.5086605,0.5124720774485,0.6929457532310486,0.508207,0.511826118586,0.0001
