run_index,run_label,cipher,model,rounds,seed,samples_per_class,pairs_per_sample,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,1.0,0.21482457832280488,0.3960796104038309,0.8142662048339844,0.8999960549190291,0.4132990210055141,0.8022994995117188,0.890799225657247,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,2.0,0.04710558513941443,0.11610609535227923,0.9687461853027344,0.9770355197906611,0.11570509580178623,0.9689865112304688,0.9768922009970993,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,3.0,0.029244608993327148,0.11381467409341894,0.9687442779541016,0.9794002941416693,0.11421910301578464,0.9689865112304688,0.9781818522606045,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,4.0,0.028861918258646924,0.11120551015847013,0.9687557220458984,0.982048082012625,0.11545769113763527,0.9689788818359375,0.9786933349678293,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,5.0,0.028473014373137318,0.10640087680576471,0.9687557220458984,0.9848610546687269,0.11393146778118535,0.9689865112304688,0.9787775537697598,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,6.0,0.027815288607845545,0.10196995525882357,0.9687480926513672,0.9870693067568936,0.11536929437261279,0.96893310546875,0.9788284918759018,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,7.0,0.02596302732538014,0.08524305752257533,0.9749755859375,0.990408926809323,0.30113974017058354,0.9101333618164062,0.9757126587210223,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,8.0,0.01806919251556538,0.07724175741924455,0.9788246154785156,0.9928505299831158,2.1166240225452384,0.7608871459960938,0.8902004332048818,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,9.0,0.014638082731613267,0.05439057180990403,0.9857463836669922,0.9949500184811768,2.100480977974712,0.7325439453125,0.866916068829596,0.0001
1,run1: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed3,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,3,262144,4,10.0,0.012117825321784848,0.04443440390343767,0.9883594512939453,0.9964364869883866,2.530392438979561,0.6986083984375,0.7979628861648962,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,1.0,0.26421640586886497,0.6895760315892403,0.5335445404052734,0.5477647813822841,0.6977620515099261,0.5000381469726562,0.5000612654257566,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,2.0,0.2582615845476539,0.688882044305501,0.5382289886474609,0.5539001046781777,0.6958080252516083,0.49988555908203125,0.4991099165054038,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,3.0,0.25716521745926,0.6880486728696269,0.5464820861816406,0.5659655305498745,0.6948822820268106,0.5018463134765625,0.50046139548067,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,4.0,0.2558186751957692,0.685848229455587,0.5562801361083984,0.5804547025109059,0.6956686338817235,0.49907684326171875,0.4978248932166025,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,5.0,0.25410841889242874,0.6793382755495259,0.5834255218505859,0.6181883440585807,0.6967521447513718,0.4987640380859375,0.49783967866096646,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,6.0,0.2512448889010557,0.6682672187453136,0.6071567535400391,0.6506737447853084,0.7008782551274635,0.49887847900390625,0.49784028762951493,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,7.0,0.24619302366045304,0.6501145899310359,0.637420654296875,0.6901169079792453,0.7077855088282377,0.49847412109375,0.4985460484167561,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,8.0,0.23881053598597646,0.6230156959572923,0.6726856231689453,0.7358079594487208,0.7210087309358642,0.49674224853515625,0.49512287077959627,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,9.0,0.22939888837208855,0.5919276901659032,0.7029819488525391,0.7729999029324972,0.7402572511928156,0.49492645263671875,0.4953164664329961,0.0001
2,run2: uKNIT-BC r5 autond_dbitnet2023 seed3,uKNIT-BC,autond_dbitnet2023,5,3,262144,4,10.0,0.21935716349798895,0.5586959483116516,0.7324275970458984,0.8069804764454602,0.7628206465742551,0.49762725830078125,0.4955837446032092,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,1.0,0.2243802918410438,0.5000519062814419,0.7360134124755859,0.8362983215047279,0.5028111665524193,0.7348861694335938,0.8322136632632464,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,2.0,0.06099210230350849,0.11766389694457757,0.9687156677246094,0.9749696779763326,0.11588320055125223,0.9694061279296875,0.9754294903250411,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,3.0,0.02954719429008179,0.11713741692938129,0.9687213897705078,0.9764477439457551,0.1152719428864657,0.9694290161132812,0.9764835219830275,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,4.0,0.029233075556884813,0.11441295915778937,0.9687232971191406,0.9785043761221459,0.11341951939175487,0.9694290161132812,0.9779249179409817,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,5.0,0.02898548858388139,0.11252795504242386,0.9687290191650391,0.9801659442819073,0.11256705455980409,0.9694290161132812,0.9788960111327469,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,6.0,0.02864157597000272,0.11104732007527218,0.9687328338623047,0.9817580535454908,0.1124479177469766,0.9694137573242188,0.9795267503941432,0.0001
3,run3: uKNIT-BC r5 runtime_spn_ct_k1t_position_histogram_invariant seed4,uKNIT-BC,runtime_spn_ct_k1t_position_histogram_invariant,5,4,262144,4,7.0,0.02825456204101684,0.11456092140167584,0.9674873352050781,0.9824384210514836,0.1332633802237524,0.9598922729492188,0.9789745301241055,0.0001
