model,seed,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
skinny64_runtime_e4_equivariant_true,1,1.0,0.2354977882350795,0.658743087638868,0.6011447906494141,0.6443265854904894,0.6599327328440268,0.6005477905273438,0.6412308081635274,0.0001
skinny64_runtime_e4_equivariant_true,1,2.0,0.23367297845288704,0.657934978204139,0.6027755737304688,0.645962509639503,0.6593584172806004,0.6003761291503906,0.6428632958850358,0.0001
skinny64_runtime_e4_equivariant_true,1,3.0,0.23326554013692657,0.657920604768151,0.6033058166503906,0.6470755419577472,0.6592961026181001,0.6009979248046875,0.6441335843119305,0.0001
skinny64_runtime_e4_equivariant_true,1,4.0,0.23293181814733543,0.6563775389440707,0.6058864593505859,0.648920354549773,0.6578601102664834,0.604339599609375,0.6457937227969524,0.0001
skinny64_runtime_e4_equivariant_true,1,5.0,0.23261589307367103,0.6557390134112211,0.606292724609375,0.6505620812749839,0.657109525956912,0.6053733825683594,0.6477828807255719,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,1.0,0.24589445597302984,0.6781432176721864,0.5660915374755859,0.595632605960418,0.677924838164472,0.5688514709472656,0.5968205308599863,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,2.0,0.24305522268332425,0.6771751476699137,0.5683078765869141,0.6013715742810746,0.6770629430538975,0.5686187744140625,0.6022873852634802,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,3.0,0.2423661502671166,0.6760425893517095,0.5718021392822266,0.6032928102067672,0.6763359524775296,0.571868896484375,0.6025843066454399,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,4.0,0.24204448041928117,0.675659533313592,0.5722179412841797,0.6046490750813973,0.6763989482569741,0.5707778930664062,0.6021341906744055,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,5.0,0.24171015849242394,0.6765637009957572,0.5690402984619141,0.604473453531682,0.6775724772160174,0.5683860778808594,0.6015518832718953,0.0001
skinny64_runtime_e4_equivariant_independent,1,1.0,0.25031407759342983,0.6930605390371056,0.5044765472412109,0.5125021991116228,0.693058835939155,0.5051193237304688,0.5121176303364336,0.0001
skinny64_runtime_e4_equivariant_independent,1,2.0,0.25002129146923835,0.6930823522125138,0.5045032501220703,0.5121128917235183,0.6930767940211808,0.5051460266113281,0.5117952550936025,0.0001
skinny64_runtime_e4_equivariant_independent,1,3.0,0.2499831547775102,0.6929844573460286,0.50762939453125,0.5121697404174483,0.6929634058906231,0.5087699890136719,0.512776315677911,0.0001
skinny64_runtime_e4_equivariant_independent,1,4.0,0.24995717563069775,0.6929754349112045,0.5085029602050781,0.512552514053823,0.6929548098414671,0.5089759826660156,0.5129700129618868,0.0001
skinny64_runtime_e4_equivariant_independent,1,5.0,0.2499062595434225,0.6929208887377172,0.5092105865478516,0.5131784801415051,0.6929162894666661,0.5084915161132812,0.5130384912190493,0.0001
