run_index,run_label,cipher,model,rounds,seed,samples_per_class,pairs_per_sample,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,1.0,0.06800906175141108,0.18061936162143866,0.9296607971191406,0.9783389519725461,0.18567027370772848,0.9271316528320312,0.9769615760305896,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,2.0,0.05390740462794952,0.19581867081433302,0.9238681793212891,0.9806518373443396,0.20753955346663133,0.9195709228515625,0.9785309348953888,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,3.0,0.05079970087064112,0.1738919359584088,0.9312934875488281,0.9822176578672952,0.18263002762250835,0.927337646484375,0.9797228846000507,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,4.0,0.048724004068503746,0.15818413653255448,0.9388980865478516,0.9831399577306001,0.17193035252057598,0.9330368041992188,0.980154650984332,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,5.0,0.047007967149824026,0.15596070383412552,0.9406909942626953,0.9842643395313644,0.1752624380924317,0.9330368041992188,0.9807774261571467,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,6.0,0.04524486661478022,0.16100275835424327,0.9374713897705078,0.9855134232129785,0.1757567717809252,0.9312210083007812,0.9815137368859723,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,7.0,0.042603213433380915,0.13766723154446936,0.9484443664550781,0.9871721829549642,0.15783182785162353,0.93939208984375,0.9829304023878649,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,8.0,0.03993315919424134,0.12996286314432837,0.9513778686523438,0.9885879164430662,0.1555217177221948,0.9406585693359375,0.9838674690108746,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,9.0,0.037623786941395565,0.12632508604713166,0.9529743194580078,0.9897395785301342,0.15210008663325425,0.9417953491210938,0.9844467808725312,0.0001
1,run1: Dialga-128 r4 runtime_spn_e4_equivariant_true seed0,Dialga-128,runtime_spn_e4_equivariant_true,4,0,262144,4,10.0,0.03549170560283699,0.1183417755589744,0.9561729431152344,0.9906840544354054,0.15903956085548998,0.9392318725585938,0.9849641470937058,0.0001
