model,seed,epoch,train_loss,train_eval_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_auc,learning_rate
skinny64_runtime_e4_equivariant_true,1,1.0,0.23836894835403655,0.6622101332177408,0.59442138671875,0.6446993411518633,0.6621257187216543,0.594940185546875,0.6429518731310964,0.0001
skinny64_runtime_e4_equivariant_true,1,2.0,0.23452251810522284,0.6587337153032422,0.6018905639648438,0.6458843541331589,0.6588446573587134,0.60009765625,0.6439587301574647,0.0001
skinny64_runtime_e4_equivariant_true,1,3.0,0.23380785188783193,0.6582984631240834,0.60443115234375,0.6469633126398548,0.6586830353480764,0.60015869140625,0.6442361883819103,0.0001
skinny64_runtime_e4_equivariant_true,1,4.0,0.23372492797352606,0.657313690520823,0.60577392578125,0.6471567514818162,0.6579015730530955,0.6014862060546875,0.6446069311350584,0.0001
skinny64_runtime_e4_equivariant_true,1,5.0,0.23345414193317993,0.6571515496470965,0.604888916015625,0.6480266147991642,0.6577363954856992,0.600921630859375,0.6446129432879388,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,1.0,0.24910213358089095,0.6863216778147034,0.5431442260742188,0.5858307296875864,0.6864950035233051,0.5444488525390625,0.5848654573783278,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,2.0,0.24506225896038814,0.6792047158814967,0.56524658203125,0.5958998741116375,0.6801456115208566,0.563262939453125,0.591889122966677,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,3.0,0.2436672231197008,0.682218347559683,0.5534286499023438,0.6004265396622941,0.6835356809315272,0.55023193359375,0.5953632034361362,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,4.0,0.24306242207239848,0.6756152107845992,0.5718994140625,0.6035091412486508,0.6776742588263005,0.56842041015625,0.5968652297742665,0.0001
skinny64_runtime_e4_equivariant_corrupted,1,5.0,0.24261444135481725,0.6745491166366264,0.5752792358398438,0.6073881507618353,0.6774384107557125,0.568115234375,0.5974604021757841,0.0001
skinny64_runtime_e4_equivariant_independent,1,1.0,0.25065493417787366,0.6932147454353981,0.5,0.5171477610711008,0.6932271572877653,0.5,0.5116912019439042,0.0001
skinny64_runtime_e4_equivariant_independent,1,2.0,0.2502866486975108,0.6943764949101023,0.5,0.5169820190640166,0.6943918272736482,0.5,0.5134266507811844,0.0001
skinny64_runtime_e4_equivariant_independent,1,3.0,0.25014765615196666,0.6931228563189507,0.5,0.5143090517958626,0.6931422242778353,0.5,0.5126697509549558,0.0001
skinny64_runtime_e4_equivariant_independent,1,4.0,0.2500915034834179,0.6930245274270419,0.5051803588867188,0.5152541092829779,0.693055534909945,0.5039825439453125,0.5139951449818909,0.0001
skinny64_runtime_e4_equivariant_independent,1,5.0,0.25007139347872,0.6929754581942689,0.5065765380859375,0.5146547921467572,0.6930335391662084,0.5059356689453125,0.5127929453738034,0.0001
